model,rank,lambda,epoch,corruption,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,50,0.01,300,0.5,,"[0.0437, 0.0023]","[0.0415, 0.002]","[0.0396, 0.0017]","[0.0473, 0.0031]","[0.0332, 0.0011]","[0.1125, 0.0033]","[0.0385, 0.0017]","[0.0359, 0.0014]","[0.0332, 0.0012]","[0.043, 0.0024]","[0.0265, 0.0008]","[0.0419, 0.0023]","[0.0659, 0.0034]","[0.0927, 0.0041]","[0.1149, 0.0046]","[0.037, 0.0025]","[0.2244, 0.0064]"
VAE-CF,50,0.1,300,0.2,,"[0.0157, 0.0014]","[0.0153, 0.0012]","[0.0149, 0.0011]","[0.0157, 0.0018]","[0.0138, 0.0008]","[0.0398, 0.0018]","[0.0153, 0.0011]","[0.0138, 0.0009]","[0.0137, 0.0008]","[0.0156, 0.0015]","[0.0125, 0.0006]","[0.0151, 0.0012]","[0.0183, 0.0015]","[0.0252, 0.0018]","[0.0328, 0.002]","[0.0093, 0.001]","[0.0759, 0.0033]"
VAE-CF,50,0.1,300,0.3,,"[0.0154, 0.0014]","[0.0151, 0.0012]","[0.0147, 0.0011]","[0.0155, 0.0018]","[0.0137, 0.0007]","[0.0393, 0.0017]","[0.0152, 0.0011]","[0.0138, 0.0009]","[0.0135, 0.0008]","[0.0153, 0.0015]","[0.0124, 0.0006]","[0.0147, 0.0011]","[0.018, 0.0014]","[0.0253, 0.0018]","[0.0324, 0.002]","[0.0088, 0.001]","[0.0751, 0.0033]"
VAE-CF,50,0.1,300,0.4,,"[0.0156, 0.0014]","[0.0152, 0.0012]","[0.0148, 0.0011]","[0.0155, 0.0018]","[0.0138, 0.0007]","[0.0395, 0.0017]","[0.0154, 0.0011]","[0.0138, 0.0009]","[0.0136, 0.0008]","[0.0154, 0.0015]","[0.0124, 0.0006]","[0.0147, 0.0011]","[0.0185, 0.0015]","[0.0252, 0.0018]","[0.0324, 0.002]","[0.009, 0.001]","[0.0753, 0.0033]"
VAE-CF,50,0.1,300,0.5,,"[0.0154, 0.0014]","[0.0151, 0.0012]","[0.0147, 0.0011]","[0.0154, 0.0018]","[0.0136, 0.0007]","[0.0391, 0.0017]","[0.0152, 0.0011]","[0.0139, 0.0009]","[0.0135, 0.0008]","[0.0155, 0.0015]","[0.0124, 0.0006]","[0.0147, 0.0011]","[0.0179, 0.0014]","[0.0254, 0.0018]","[0.0321, 0.002]","[0.0089, 0.001]","[0.0746, 0.0032]"
VAE-CF,100,1e-05,300,0.2,,"[0.0484, 0.0024]","[0.0458, 0.002]","[0.0439, 0.0017]","[0.0523, 0.0032]","[0.0374, 0.0011]","[0.1385, 0.0037]","[0.043, 0.0017]","[0.0392, 0.0013]","[0.0375, 0.0012]","[0.0476, 0.0024]","[0.03, 0.0007]","[0.0462, 0.0025]","[0.0881, 0.0044]","[0.1194, 0.005]","[0.1504, 0.0056]","[0.0498, 0.0034]","[0.2896, 0.0075]"
VAE-CF,100,1e-05,300,0.3,,"[0.0494, 0.0024]","[0.0468, 0.002]","[0.0448, 0.0017]","[0.053, 0.0032]","[0.0381, 0.0011]","[0.14, 0.0037]","[0.0435, 0.0017]","[0.0404, 0.0014]","[0.038, 0.0012]","[0.0484, 0.0025]","[0.0305, 0.0008]","[0.0476, 0.0025]","[0.0903, 0.0045]","[0.1221, 0.0051]","[0.1526, 0.0057]","[0.051, 0.0034]","[0.2917, 0.0075]"
VAE-CF,100,1e-05,300,0.4,,"[0.0504, 0.0024]","[0.0476, 0.002]","[0.0455, 0.0018]","[0.0543, 0.0033]","[0.0386, 0.0011]","[0.1412, 0.0037]","[0.044, 0.0017]","[0.0406, 0.0014]","[0.0383, 0.0012]","[0.0499, 0.0025]","[0.0308, 0.0008]","[0.0472, 0.0025]","[0.0892, 0.0044]","[0.1208, 0.0051]","[0.1507, 0.0056]","[0.0516, 0.0034]","[0.294, 0.0075]"
VAE-CF,100,1e-05,300,0.5,,"[0.0514, 0.0025]","[0.0484, 0.0021]","[0.0462, 0.0018]","[0.0558, 0.0034]","[0.039, 0.0012]","[0.1415, 0.0037]","[0.0448, 0.0018]","[0.0408, 0.0014]","[0.0385, 0.0012]","[0.051, 0.0026]","[0.0308, 0.0008]","[0.0486, 0.0026]","[0.0897, 0.0044]","[0.1198, 0.005]","[0.1487, 0.0055]","[0.0518, 0.0034]","[0.2924, 0.0075]"
VAE-CF,100,0.0001,300,0.2,,"[0.0493, 0.0024]","[0.0467, 0.002]","[0.0447, 0.0017]","[0.0532, 0.0032]","[0.038, 0.0011]","[0.1407, 0.0037]","[0.0433, 0.0017]","[0.0402, 0.0014]","[0.038, 0.0012]","[0.0497, 0.0026]","[0.0305, 0.0008]","[0.0469, 0.0026]","[0.0891, 0.0044]","[0.1212, 0.0051]","[0.1532, 0.0057]","[0.0528, 0.0035]","[0.2942, 0.0075]"
