model,MAP@10,MAP@20,MAP@50,Precision@10,Precision@20,Precision@50,Recall@10,Recall@20,Recall@50
NN,0.0049,0.0078,0.0193,0.0077,0.0156,0.0386,0.0009,0.0019,0.0047
VAE-CF,0.0582,0.0537,0.0464,0.0524,0.0467,0.0381,0.0842,0.1428,0.2769
